"year","period","periodName","Employment among men 45-54 (%)","Employment among women 45-54 (%)","date"
1948,1,"January",93.8,32.8,"1948-01-01"
1948,2,"February",93.6,33,"1948-02-01"
1948,3,"March",93.7,32.3,"1948-03-01"
1948,4,"April",93.7,33.8,"1948-04-01"
1948,5,"May",93.5,32.7,"1948-05-01"
1948,6,"June",93.9,34,"1948-06-01"
1948,7,"July",94,35.6,"1948-07-01"
1948,8,"August",93.1,34.2,"1948-08-01"
1948,9,"September",93,35.3,"1948-09-01"
1948,10,"October",93.3,34.5,"1948-10-01"
1948,11,"November",92.6,34.6,"1948-11-01"
1948,12,"December",92.6,34.6,"1948-12-01"
1949,1,"January",92.6,33.9,"1949-01-01"
1949,2,"February",92.2,33.7,"1949-02-01"
1949,3,"March",92,34.2,"1949-03-01"
1949,4,"April",91.5,34.4,"1949-04-01"
1949,5,"May",91.2,34.5,"1949-05-01"
1949,6,"June",90.9,34.5,"1949-06-01"
1949,7,"July",91,34.7,"1949-07-01"
1949,8,"August",91.1,34.7,"1949-08-01"
1949,9,"September",91.9,34.2,"1949-09-01"
1949,10,"October",90.7,34.8,"1949-10-01"
1949,11,"November",91.5,35.1,"1949-11-01"
1949,12,"December",90.8,35.2,"1949-12-01"
1950,1,"January",90.3,35.2,"1950-01-01"
1950,2,"February",90,35.2,"1950-02-01"
1950,3,"March",90.6,35.5,"1950-03-01"
1950,4,"April",91.4,36,"1950-04-01"
1950,5,"May",92.1,35.9,"1950-05-01"
1950,6,"June",92.5,36.7,"1950-06-01"
1950,7,"July",91.7,36.3,"1950-07-01"
1950,8,"August",92.5,36.6,"1950-08-01"
1950,9,"September",92.7,36.4,"1950-09-01"
1950,10,"October",92.9,37.2,"1950-10-01"
1950,11,"November",93.3,36.7,"1950-11-01"
1950,12,"December",93.2,36.8,"1950-12-01"
1951,1,"January",93.7,37,"1951-01-01"
1951,2,"February",93.9,36.8,"1951-02-01"
1951,3,"March",94.3,37,"1951-03-01"
1951,4,"April",93.7,37.4,"1951-04-01"
1951,5,"May",93.7,38.3,"1951-05-01"
1951,6,"June",93.6,36.9,"1951-06-01"
1951,7,"July",93.4,40.3,"1951-07-01"
1951,8,"August",93.6,39.5,"1951-08-01"
1951,9,"September",93,38.5,"1951-09-01"
1951,10,"October",93.5,38.4,"1951-10-01"
1951,11,"November",93.8,39.3,"1951-11-01"
1951,12,"December",94.1,39.4,"1951-12-01"
1952,1,"January",93.9,39.6,"1952-01-01"
1952,2,"February",93.9,40,"1952-02-01"
1952,3,"March",94.1,40.1,"1952-03-01"
1952,4,"April",94.3,38.9,"1952-04-01"
1952,5,"May",93.8,38.9,"1952-05-01"
1952,6,"June",93.8,38.7,"1952-06-01"
1952,7,"July",93.9,38.5,"1952-07-01"
1952,8,"August",93.8,37.5,"1952-08-01"
1952,9,"September",94.6,39.2,"1952-09-01"
1952,10,"October",94.2,38.8,"1952-10-01"
1952,11,"November",94.2,39.4,"1952-11-01"
1952,12,"December",94.8,39.6,"1952-12-01"
1953,1,"January",94,39.9,"1953-01-01"
1953,2,"February",96,40.1,"1953-02-01"
1953,3,"March",95.5,40.1,"1953-03-01"
1953,4,"April",94.7,40.3,"1953-04-01"
1953,5,"May",93.3,38.6,"1953-05-01"
1953,6,"June",94.1,39.5,"1953-06-01"
1953,7,"July",95,40.3,"1953-07-01"
1953,8,"August",94.5,39.4,"1953-08-01"
1953,9,"September",94,39.3,"1953-09-01"
1953,10,"October",94.1,39.5,"1953-10-01"
1953,11,"November",93.7,38.6,"1953-11-01"
1953,12,"December",93.2,37.8,"1953-12-01"
1954,1,"January",92.3,39,"1954-01-01"
1954,2,"February",92.9,39.9,"1954-02-01"
1954,3,"March",91.9,38.9,"1954-03-01"
1954,4,"April",92.1,38.5,"1954-04-01"
1954,5,"May",92.1,39.4,"1954-05-01"
1954,6,"June",92.2,39.4,"1954-06-01"
1954,7,"July",92.2,38.5,"1954-07-01"
1954,8,"August",92.3,37.9,"1954-08-01"
1954,9,"September",92.4,39.7,"1954-09-01"
1954,10,"October",92.6,39.9,"1954-10-01"
1954,11,"November",92.7,40.1,"1954-11-01"
1954,12,"December",92.7,39.8,"1954-12-01"
1955,1,"January",93.2,40.7,"1955-01-01"
1955,2,"February",93.2,41.1,"1955-02-01"
1955,3,"March",93.4,40.8,"1955-03-01"
1955,4,"April",92.8,41.7,"1955-04-01"
1955,5,"May",93.5,41.1,"1955-05-01"
1955,6,"June",93.7,41.6,"1955-06-01"
1955,7,"July",93.5,42.7,"1955-07-01"
1955,8,"August",93.3,43.3,"1955-08-01"
1955,9,"September",93.6,43.2,"1955-09-01"
1955,10,"October",93.1,43.4,"1955-10-01"
1955,11,"November",93.1,43.4,"1955-11-01"
1955,12,"December",93.6,43.4,"1955-12-01"
1956,1,"January",93.9,43.5,"1956-01-01"
1956,2,"February",93.3,43.2,"1956-02-01"
1956,3,"March",93.6,43.3,"1956-03-01"
1956,4,"April",94.1,43.1,"1956-04-01"
1956,5,"May",93.8,43.5,"1956-05-01"
1956,6,"June",94.2,43.8,"1956-06-01"
1956,7,"July",93.6,43.6,"1956-07-01"
1956,8,"August",94.1,44.3,"1956-08-01"
1956,9,"September",93.6,44.4,"1956-09-01"
1956,10,"October",93.4,44.2,"1956-10-01"
1956,11,"November",93.4,44.2,"1956-11-01"
1956,12,"December",93,44.6,"1956-12-01"
1957,1,"January",92.9,44.1,"1957-01-01"
1957,2,"February",93.4,44.4,"1957-02-01"
1957,3,"March",94.5,44.9,"1957-03-01"
1957,4,"April",93.5,45.4,"1957-04-01"
1957,5,"May",93.4,45.2,"1957-05-01"
1957,6,"June",93.2,45.1,"1957-06-01"
1957,7,"July",93.4,46.2,"1957-07-01"
1957,8,"August",93.2,44.5,"1957-08-01"
1957,9,"September",93.1,45,"1957-09-01"
1957,10,"October",92.9,45.2,"1957-10-01"
1957,11,"November",92.4,45,"1957-11-01"
1957,12,"December",92.3,45.3,"1957-12-01"
1958,1,"January",92.2,45,"1958-01-01"
1958,2,"February",91.5,45.2,"1958-02-01"
1958,3,"March",90.8,45.3,"1958-03-01"
1958,4,"April",90.4,45.3,"1958-04-01"
1958,5,"May",90.7,45.4,"1958-05-01"
1958,6,"June",90.6,45.5,"1958-06-01"
1958,7,"July",91,45.6,"1958-07-01"
1958,8,"August",90.5,46.3,"1958-08-01"
1958,9,"September",91.3,45.4,"1958-09-01"
1958,10,"October",92,45.5,"1958-10-01"
1958,11,"November",91.8,45.3,"1958-11-01"
1958,12,"December",92,45.9,"1958-12-01"
1959,1,"January",91.6,46.5,"1959-01-01"
1959,2,"February",91.2,46.4,"1959-02-01"
1959,3,"March",92.1,46.6,"1959-03-01"
1959,4,"April",92.5,47,"1959-04-01"
1959,5,"May",92.5,47,"1959-05-01"
1959,6,"June",92.6,48.1,"1959-06-01"
1959,7,"July",92.5,47.5,"1959-07-01"
1959,8,"August",91.9,46.9,"1959-08-01"
1959,9,"September",91.8,46.4,"1959-09-01"
1959,10,"October",91.6,46.5,"1959-10-01"
1959,11,"November",91.2,47,"1959-11-01"
1959,12,"December",92.4,47.2,"1959-12-01"
1960,1,"January",92.1,47,"1960-01-01"
1960,2,"February",92.2,47,"1960-02-01"
1960,3,"March",91.4,46.8,"1960-03-01"
