"year","period","periodName","footnotes","LNS12300173","LNS12300334","date"
1948,"M01","January","",95.7,35,1948-01-01
1948,"M02","February","",95.5,36.1,1948-02-01
1948,"M03","March","",95.3,36.2,1948-03-01
1948,"M04","April","",95.2,35.7,1948-04-01
1948,"M05","May","",95.5,34.9,1948-05-01
1948,"M06","June","",95.4,36.4,1948-06-01
1948,"M07","July","",95.6,36.2,1948-07-01
1948,"M08","August","",95.6,35.9,1948-08-01
1948,"M09","September","",95.5,36.6,1948-09-01
1948,"M10","October","",95.8,35.3,1948-10-01
1948,"M11","November","",95.8,35.2,1948-11-01
1948,"M12","December","",95.7,35.9,1948-12-01
1949,"M01","January","",95.2,36.2,1949-01-01
1949,"M02","February","",94.7,36.1,1949-02-01
1949,"M03","March","",94.6,35.6,1949-03-01
1949,"M04","April","",94.4,36.1,1949-04-01
1949,"M05","May","",93.7,36.5,1949-05-01
1949,"M06","June","",94,36.6,1949-06-01
1949,"M07","July","",93.3,36.5,1949-07-01
1949,"M08","August","",93.4,36.7,1949-08-01
1949,"M09","September","",93.1,36.3,1949-09-01
1949,"M10","October","",92.8,35.9,1949-10-01
1949,"M11","November","",93.1,36.5,1949-11-01
1949,"M12","December","",93,36.2,1949-12-01
1950,"M01","January","",93.4,35.6,1950-01-01
1950,"M02","February","",93.3,36.3,1950-02-01
1950,"M03","March","",93.1,35.8,1950-03-01
1950,"M04","April","",93.4,36.9,1950-04-01
1950,"M05","May","",93.8,36.6,1950-05-01
1950,"M06","June","",94.3,37.5,1950-06-01
1950,"M07","July","",94.2,37.8,1950-07-01
1950,"M08","August","",94.5,39.5,1950-08-01
1950,"M09","September","",94.8,37.9,1950-09-01
1950,"M10","October","",94.9,38.2,1950-10-01
1950,"M11","November","",95.1,38.5,1950-11-01
1950,"M12","December","",94.7,37.6,1950-12-01
1951,"M01","January","",94.6,38,1951-01-01
1951,"M02","February","",95.6,37.6,1951-02-01
1951,"M03","March","",96.2,38.4,1951-03-01
1951,"M04","April","",96,38,1951-04-01
1951,"M05","May","",95.7,38.6,1951-05-01
1951,"M06","June","",95.3,38.1,1951-06-01
1951,"M07","July","",95.6,38.5,1951-07-01
1951,"M08","August","",94.9,38.3,1951-08-01
1951,"M09","September","",95.7,37.6,1951-09-01
1951,"M10","October","",96.1,38.9,1951-10-01
1951,"M11","November","",95.4,38.3,1951-11-01
1951,"M12","December","",96.1,39,1951-12-01
1952,"M01","January","",96.2,38.8,1952-01-01
1952,"M02","February","",96.2,39.1,1952-02-01
1952,"M03","March","",96.2,39.1,1952-03-01
1952,"M04","April","",96.2,39.1,1952-04-01
